geneSet,description,link,enrichmentScore,normalizedEnrichmentScore,pValue,FDR,size,plotPath,leadingEdgeNum,leadingEdgeId,userId
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,http://reactome.org/PathwayBrowser/#/R-MMU-198933,0.727819195,2.370549592,0,0,16,./Project_wg_result1663453806_GSEA/R_MMU_198933.png,13,14972;15894;14964;12010;66141;15015;80876;17470;15018;68713;18146;12490;19294,B2m;Cd200;Cd34;H2-D1;H2-K1;H2-Q4;H2-Q7;Icam1;Ifitm1;Ifitm2;Ifitm3;Nectin2;Npdc1
R-MMU-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",http://reactome.org/PathwayBrowser/#/R-MMU-983170,0.689642526,2.183340431,0.003389831,0.008151269,14,./Project_wg_result1663453806_GSEA/R_MMU_983170.png,9,14972;14964;12010;15015;14828;15018;21354;14827;12317,B2m;Calr;H2-D1;H2-K1;H2-Q4;H2-Q7;Hspa5;Pdia3;Tap1
R-MMU-1236974,ER-Phagosome pathway,http://reactome.org/PathwayBrowser/#/R-MMU-1236974,0.716614346,2.168204586,0.001703578,0.009614317,12,./Project_wg_result1663453806_GSEA/R_MMU_1236974.png,8,14972;14964;12010;15015;15018;21354;14827;12317,B2m;Calr;H2-D1;H2-K1;H2-Q4;H2-Q7;Pdia3;Tap1
R-MMU-168256,Immune System,http://reactome.org/PathwayBrowser/#/R-MMU-168256,0.385508226,2.146523222,0,0.010972862,159,./Project_wg_result1663453806_GSEA/R_MMU_168256.png,66,14972;15894;14964;21946;12306;14825;12010;20195;76905;16186;66141;12977;18793;15015;12475;80876;17064;67951;17470;16913;22146;11867;27279;18103;56378;57914;72461;14828;53378;15018;21354;68713;19141;18453;14827;286940;12317;12315;76709;21937;22166;19025;19188;74117;18146;14824;12490;11821;13057;13200;12330;19698;19294;109754;22027;11674;17886;16912;17319;269523;11461;18746;18034;110557;18950;16453,Actb;Actr3;Aldoa;Anxa2;Aprt;Arpc1b;Arpc2;Arpc3;B2m;Calm3;Calr;Canx;Cd14;Cd200;Cd34;Cd93;Crlf2;Csf1;Ctsa;Cxcl1;Cyb5r3;Cyba;Ddost;Flnb;Grn;H2-D1;H2-K1;H2-Q4;H2-Q6;H2-Q7;Hsp90b1;Hspa5;Icam1;Ifitm1;Ifitm2;Ifitm3;Il2rg;Jak3;Lgmn;Lrg1;Mif;Myh9;Nectin2;Nfkb2;Nme2;Npdc1;P4hb;Pdia3;Pglyrp1;Pkm;Plaur;Pnp;Prcp;Psmb8;Psmb9;Psme2;Relb;S100a11;Sdcbp;Tap1;Tnfrsf12a;Tnfrsf1a;Tuba1c;Tubb6;Txn1;Vcp
R-MMU-6798695,Neutrophil degranulation,http://reactome.org/PathwayBrowser/#/R-MMU-6798695,0.454370814,2.102060326,0,0.013794455,60,./Project_wg_result1663453806_GSEA/R_MMU_6798695.png,28,14972;14964;21946;12306;14825;12010;20195;76905;18793;15015;12475;17064;18103;72461;53378;15018;19025;14824;11821;13057;13200;109754;11674;17319;269523;18746;110557;18950,Aldoa;Anxa2;Aprt;B2m;Cd14;Cd93;Ctsa;Cxcl1;Cyb5r3;Cyba;Ddost;Grn;H2-D1;H2-K1;H2-Q4;H2-Q6;H2-Q7;Lrg1;Mif;Nme2;Pglyrp1;Pkm;Plaur;Pnp;Prcp;S100a11;Sdcbp;Vcp
